fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality [cat],id
8.4,0.31,0.29,3.1,0.194,14,26,99.536,3.22,0.78,12,6,882
7,0.57,0,2,0.19,12,45,99.676,3.31,0.6,9.4,6,780
7.8,0.5,0.12,1.8,0.178,6,21,99.6,3.28,0.87,9.8,6,1146
7.3,1.07,0.09,1.7,0.178,10,89,99.62,3.3,0.57,9,5,120
10.8,0.47,0.43,2.1,0.171,27,66,99.82,3.17,0.76,10.8,6,1109
10,0.38,0.38,1.6,0.169,27,90,99.914,3.15,0.65,8.5,5,1436
7.4,0.64,0.17,5.4,0.168,52,98,99.736,3.28,0.5,9.5,5,1358
7.2,0.835,0,2,0.166,4,11,99.608,3.39,0.52,10,5,1334
6.5,0.885,0,2.3,0.166,6,12,99.551,3.56,0.51,10.8,5,1191
7.4,0.53,0.12,1.9,0.165,4,12,99.702,3.26,0.86,9.2,5,808
5.3,0.715,0.19,1.5,0.161,7,62,99.395,3.62,0.61,11,5,916
8.1,0.38,0.48,1.8,0.157,5,17,99.76,3.3,1.05,9.4,5,689
7.9,0.4,0.29,1.8,0.157,1,44,99.73,3.3,0.92,9.5,6,773
7.5,0.58,0.56,3.1,0.153,5,14,99.476,3.21,1.03,11.6,6,1371
10.6,0.36,0.6,2.2,0.152,7,18,99.86,3.04,1.06,9.4,5,483
11.6,0.47,0.44,1.6,0.147,36,51,99.836,3.38,0.86,9.9,4,833
7.6,1.58,0,2.1,0.137,5,9,99.476,3.5,0.4,10.9,3,1299
9.9,0.72,0.55,1.7,0.136,24,52,99.752,3.35,0.94,10,5,1207
10.8,0.89,0.3,2.6,0.132,7,60,99.786,2.99,1.18,10.2,5,795
10.9,0.32,0.52,1.8,0.132,17,44,99.734,3.28,0.77,11.5,6,1220
10.9,0.32,0.52,1.8,0.132,17,44,99.734,3.28,0.77,11.5,6,1221
9.3,0.38,0.48,3.8,0.132,3,11,99.577,3.23,0.57,13.2,6,910
11.9,0.695,0.53,3.4,0.128,7,21,99.92,3.17,0.84,12.2,7,335
9.3,0.48,0.29,2.1,0.127,6,16,99.68,3.22,0.72,11.2,5,447
8.7,0.46,0.31,2.5,0.126,24,64,99.746,3.1,0.74,9.6,5,796
10.7,0.4,0.48,2.1,0.125,15,49,99.8,3.03,0.81,9.7,6,512
6.8,0.69,0,5.6,0.124,21,58,99.97,3.46,0.72,10.2,5,625
6.4,0.53,0.09,3.9,0.123,14,31,99.68,3.5,0.67,11,4,1423
6.8,0.64,0,2.7,0.123,15,33,99.538,3.44,0.63,11.3,6,1258
7.1,0.72,0,1.8,0.123,6,14,99.627,3.45,0.58,9.8,5,1252
11.3,0.36,0.66,2.4,0.123,3,8,99.642,3.2,0.53,11.9,6,1020
11.3,0.36,0.66,2.4,0.123,3,8,99.642,3.2,0.53,11.9,6,1021
8.5,0.655,0.49,6.1,0.122,34,151,100.1,3.31,1.14,9.3,5,515
6.6,0.735,0.02,7.9,0.122,68,124,99.94,3.47,0.53,9.9,5,396
6.6,0.735,0.02,7.9,0.122,68,124,99.94,3.47,0.53,9.9,5,400
11.9,0.38,0.51,2,0.121,7,20,99.96,3.24,0.76,10.4,6,418
11.6,0.53,0.66,3.65,0.121,6,14,99.78,3.05,0.74,11.5,7,326
13.5,0.53,0.79,4.8,0.12,23,77,100.18,3.18,0.77,13,5,353
6.4,0.57,0.12,2.3,0.12,25,36,99.519,3.47,0.71,11.3,7,958
8,0.58,0.16,2,0.12,3,7,99.454,3.22,0.58,11.2,6,1014
10.6,0.5,0.45,2.6,0.119,34,68,99.708,3.23,0.72,10.9,6,842
8.8,0.55,0.04,2.2,0.119,14,56,99.62,3.21,0.6,10.9,6,121
10.9,0.39,0.47,1.8,0.118,6,14,99.82,3.3,0.75,9.8,6,342
10.9,0.39,0.47,1.8,0.118,6,14,99.82,3.3,0.75,9.8,6,343
6.8,0.67,0.15,1.8,0.118,13,20,99.54,3.42,0.67,11.3,6,1578
8,0.745,0.56,2,0.118,30,134,99.68,3.24,0.66,9.4,5,130
10.9,0.53,0.49,4.6,0.118,10,17,100.02,3.07,0.56,11.7,6,556
8.3,0.6,0.25,2.2,0.118,9,38,99.616,3.15,0.53,9.8,5,1152
8.3,0.6,0.25,2.2,0.118,9,38,99.616,3.15,0.53,9.8,5,1155
8.6,0.725,0.24,6.6,0.117,31,134,100.14,3.32,1.07,9.3,5,415
8.1,0.67,0.55,1.8,0.117,32,141,99.68,3.17,0.62,9.4,5,145
6.6,0.725,0.09,5.5,0.117,9,17,99.655,3.35,0.49,10.8,6,1094
6.6,0.725,0.09,5.5,0.117,9,17,99.655,3.35,0.49,10.8,6,1096
10.5,0.42,0.66,2.95,0.116,12,29,99.7,3.24,0.75,11.7,7,357
7.7,0.69,0.49,1.8,0.115,20,112,99.68,3.21,0.71,9.3,5,61
6.6,0.57,0.02,2.1,0.115,6,16,99.654,3.38,0.69,9.5,5,962
6.6,0.66,0,3,0.115,21,31,99.629,3.45,0.63,10.3,5,841
7.8,0.61,0.29,1.6,0.114,9,29,99.74,3.26,1.56,9.1,5,13
7.7,0.935,0.43,2.2,0.114,22,114,99.7,3.25,0.73,9.2,5,46
7.7,0.56,0.08,2.5,0.114,14,46,99.71,3.24,0.66,9.6,6,803
6.5,0.46,0.14,2.4,0.114,9,37,99.732,3.66,0.65,9.8,5,781
7.4,0.47,0.46,2.2,0.114,7,20,99.647,3.32,0.63,10.5,5,1518
9.1,0.28,0.46,9,0.114,3,9,99.901,3.18,0.6,10.9,6,911
7,0.69,0,1.9,0.114,3,10,99.636,3.35,0.6,9.7,6,1277
7,0.745,0.12,1.8,0.114,15,64,99.588,3.22,0.59,9.5,6,1194
10.7,0.9,0.34,6.6,0.112,23,99,100.289,3.22,0.68,9.3,5,889
8.4,0.65,0.6,2.1,0.112,12,90,99.73,3.2,0.52,9.2,5,304
7.7,0.965,0.1,2.1,0.112,11,22,99.63,3.26,0.5,9.5,5,736
10.6,0.48,0.64,2.2,0.111,6,20,99.7,3.26,0.66,11.7,6,416
9,0.36,0.52,2.1,0.111,5,10,99.568,3.31,0.62,11.3,6,956
7.6,0.685,0.23,2.3,0.111,20,84,99.64,3.21,0.61,9.3,5,629
9.9,0.74,0.19,5.8,0.111,33,76,99.878,3.14,0.55,9.4,5,1203
8.9,0.31,0.57,2,0.111,26,85,99.71,3.26,0.53,9.7,5,185
8.6,0.49,0.28,1.9,0.11,20,136,99.72,2.93,1.95,9.9,6,86
8.6,0.49,0.28,1.9,0.11,20,136,99.72,2.93,1.95,9.9,6,91
8.9,0.35,0.4,3.6,0.11,12,24,99.549,3.23,0.7,12,7,1008
10.1,0.65,0.37,5.1,0.11,11,65,100.26,3.32,0.64,10.4,6,608
7.6,0.51,0.15,2.8,0.11,33,73,99.55,3.17,0.63,10.2,6,54
11.9,0.43,0.66,3.1,0.109,10,23,100,3.15,0.85,10.4,7,358
8.8,0.31,0.4,2.8,0.109,7,16,99.614,3.31,0.79,11.8,7,875
8.4,0.59,0.29,2.6,0.109,31,119,99.801,3.15,0.5,9.1,5,977
7.3,0.73,0.24,1.9,0.108,18,102,99.67,3.26,0.59,9.3,5,587
9.3,0.39,0.44,2.1,0.107,34,125,99.78,3.14,1.22,9.5,5,88
10.3,0.44,0.5,4.5,0.107,5,13,99.8,3.28,0.83,11.5,5,327
10.5,0.51,0.64,2.4,0.107,6,15,99.73,3.09,0.66,11.8,7,513
10.5,0.51,0.64,2.4,0.107,6,15,99.73,3.09,0.66,11.8,7,514
7.1,0.755,0.15,1.8,0.107,20,84,99.593,3.19,0.5,9.5,5,1384
7.8,0.87,0.26,3.8,0.107,31,67,99.668,3.26,0.46,9.2,5,1331
7.9,0.43,0.21,1.6,0.106,10,37,99.66,3.17,0.91,9.5,5,22
6.6,0.7,0.08,2.6,0.106,14,27,99.665,3.44,0.58,10.2,5,1519
7.5,0.38,0.57,2.3,0.106,5,12,99.605,3.36,0.55,11.4,6,1504
7.5,0.38,0.57,2.3,0.106,5,12,99.605,3.36,0.55,11.4,6,1507
10.7,0.43,0.39,2.2,0.106,8,32,99.86,2.89,0.5,9.6,5,650
10.7,0.43,0.39,2.2,0.106,8,32,99.86,2.89,0.5,9.6,5,656
11.6,0.42,0.53,3.3,0.105,33,98,100.1,3.2,0.95,9.2,5,289
10.1,0.935,0.22,3.4,0.105,11,86,100.1,3.43,0.64,11.3,4,633
10.4,0.28,0.54,2.7,0.105,5,19,99.88,3.25,0.63,9.5,5,631
8.4,0.56,0.08,2.1,0.105,16,44,99.58,3.13,0.52,11,5,333
11.5,0.18,0.51,4,0.104,4,23,99.96,3.28,0.97,10.1,6,269
11.5,0.18,0.51,4,0.104,4,23,99.96,3.28,0.97,10.1,6,277
7.8,0.56,0.19,1.8,0.104,12,47,99.64,3.19,0.93,9.5,5,110
7.8,0.56,0.19,1.8,0.104,12,47,99.64,3.19,0.93,9.5,5,114
9.9,0.57,0.25,2,0.104,12,89,99.63,3.04,0.9,10.1,5,1413
7.8,0.32,0.44,2.7,0.104,8,17,99.732,3.33,0.78,11,7,1451
9,0.58,0.25,2,0.104,8,21,99.769,3.27,0.72,9.6,5,1227
8.2,0.28,0.6,3,0.104,10,22,99.828,3.39,0.68,10.6,5,1479
8.2,0.28,0.6,3,0.104,10,22,99.828,3.39,0.68,10.6,5,1481
7.5,0.41,0.15,3.7,0.104,29,94,99.786,3.14,0.58,9.1,5,1138
7.6,0.42,0.25,3.9,0.104,28,90,99.784,3.15,0.57,9.1,5,1057
6.8,0.785,0,2.4,0.104,14,30,99.66,3.52,0.55,10.7,6,77
12.6,0.41,0.54,2.8,0.103,19,41,99.939,3.21,0.76,11.3,6,814
6.3,0.68,0.01,3.7,0.103,32,54,99.586,3.51,0.66,11.3,6,1552
5.2,0.32,0.25,1.8,0.103,13,50,99.57,3.38,0.55,9.2,5,34
9.9,0.5,0.24,2.3,0.103,6,14,99.78,3.34,0.52,10,4,576
9.9,0.59,0.07,3.4,0.102,32,71,100.015,3.31,0.71,9.8,5,284
9.9,0.59,0.07,3.4,0.102,32,71,100.015,3.31,0.71,9.8,5,285
6.9,0.39,0.24,2.1,0.102,4,7,99.462,3.44,0.58,11.4,4,813
6.8,0.775,0,3,0.102,8,23,99.65,3.45,0.56,10.7,5,96
10,0.48,0.24,2.7,0.102,13,32,100,3.28,0.56,10,6,534
7.8,0.58,0.13,2.1,0.102,17,36,99.44,3.24,0.53,11.2,6,1274
7.7,0.58,0.1,1.8,0.102,28,109,99.565,3.08,0.49,9.8,6,242
7.7,1.005,0.15,2.1,0.102,11,32,99.604,3.23,0.48,10,5,1012
7.2,1,0,3,0.102,7,16,99.586,3.43,0.46,10,5,775
9.2,0.59,0.24,3.3,0.101,20,47,99.88,3.26,0.67,9.6,5,540
8.9,0.48,0.53,4,0.101,3,10,99.586,3.21,0.59,12.1,7,1056
8.9,0.48,0.53,4,0.101,3,10,99.586,3.21,0.59,12.1,7,1059
8.7,0.625,0.16,2,0.101,13,49,99.62,3.14,0.57,11,5,216
7.4,0.53,0.26,2,0.101,16,72,99.57,3.15,0.57,9.4,5,221
12.5,0.6,0.49,4.3,0.1,5,14,100.1,3.25,0.74,11.9,6,516
6.7,0.86,0.07,2,0.1,20,57,99.598,3.6,0.74,11.7,6,1301
15.6,0.685,0.76,3.7,0.1,6,43,100.32,2.95,0.68,11.2,7,442
7.8,0.44,0.28,2.7,0.1,18,95,99.66,3.22,0.67,9.4,5,208
7.1,0.735,0.16,1.9,0.1,15,77,99.66,3.27,0.64,9.3,5,412
7.8,0.63,0.48,1.7,0.1,14,96,99.61,3.19,0.62,9.5,5,165
11.2,0.5,0.74,5.15,0.1,5,17,99.96,3.22,0.62,11.2,5,539
7.6,0.74,0,1.9,0.1,6,12,99.521,3.36,0.59,11,5,1290
7.4,0.64,0.07,1.8,0.1,8,23,99.61,3.3,0.58,9.6,5,1386
8.6,0.53,0.22,2,0.1,7,27,99.67,3.2,0.56,10.2,6,448
8.2,0.7,0.23,2,0.099,14,81,99.73,3.19,0.7,9.4,5,360
7,0.685,0,1.9,0.099,9,22,99.606,3.34,0.6,9.7,5,820
11.2,0.4,0.5,2,0.099,19,50,99.783,3.1,0.58,10.4,5,1548
8.6,0.63,0.17,2.9,0.099,21,119,99.8,3.09,0.52,9.3,5,789
7.8,0.88,0,2.6,0.098,25,67,99.68,3.2,0.68,9.8,5,1
8,0.38,0.44,1.9,0.098,6,15,99.56,3.3,0.64,11.4,6,1062
11.9,0.38,0.49,2.7,0.098,12,42,100.04,3.16,0.61,10.3,5,531
11.9,0.38,0.49,2.7,0.098,12,42,100.04,3.16,0.61,10.3,5,532
6.9,0.36,0.25,2.4,0.098,5,16,99.64,3.41,0.6,10.1,6,293
7.5,0.77,0.2,8.1,0.098,30,92,99.892,3.2,0.58,9.2,5,1071
8.2,0.32,0.42,2.3,0.098,3,9,99.506,3.27,0.55,12.3,6,1023
8.8,0.6,0.29,2.2,0.098,5,15,99.88,3.36,0.49,9.1,5,626
8.8,0.6,0.29,2.2,0.098,5,15,99.88,3.36,0.49,9.1,5,627
9.9,0.4,0.53,6.7,0.097,6,19,99.86,3.27,0.82,11.7,7,413
7,0.38,0.49,2.5,0.097,33,85,99.62,3.39,0.77,11.4,6,527
7.6,0.54,0.13,2.5,0.097,24,66,99.785,3.39,0.61,9.4,5,752
8.7,0.54,0.26,2.5,0.097,7,31,99.76,3.27,0.6,9.3,6,628
8.7,0.54,0.26,2.5,0.097,7,31,99.76,3.27,0.6,9.3,6,630
7.2,0.63,0,1.9,0.097,14,38,99.675,3.37,0.58,9,6,235
9.2,0.63,0.21,2.7,0.097,29,65,99.88,3.28,0.58,9.6,5,457
6.7,0.58,0.08,1.8,0.097,15,65,99.59,3.28,0.54,9.2,5,10
9.1,0.66,0.15,3.2,0.097,9,59,99.976,3.28,0.54,9.6,5,819
7.7,0.39,0.12,1.7,0.097,19,27,99.596,3.16,0.49,9.4,5,988
7.7,0.39,0.12,1.7,0.097,19,27,99.596,3.16,0.49,9.4,5,990
8.5,0.66,0.2,2.1,0.097,23,113,99.733,3.13,0.48,9.2,5,967
15.9,0.36,0.65,7.5,0.096,22,71,99.76,2.98,0.84,14.9,5,652
9.1,0.795,0,2.6,0.096,11,26,99.94,3.35,0.83,9.4,6,351
8.1,0.87,0,3.3,0.096,26,61,100.025,3.6,0.72,9.8,4,266
7.9,0.29,0.49,2.2,0.096,21,59,99.714,3.31,0.67,10.1,6,1528
8.7,0.63,0.28,2.7,0.096,17,69,99.734,3.26,0.63,10.2,6,1283
8.3,0.58,0.13,2.9,0.096,14,63,99.84,3.17,0.62,9.1,6,604
7.9,0.66,0,1.4,0.096,6,13,99.569,3.43,0.58,9.5,5,1253
7.2,0.605,0.02,1.9,0.096,10,31,99.5,3.46,0.53,11.8,6,1364
8.6,0.52,0.38,1.5,0.096,5,18,99.666,3.2,0.52,9.4,5,1099
9.3,0.655,0.26,2,0.096,5,35,99.738,3.25,0.42,9.6,5,761
12.8,0.3,0.74,2.6,0.095,9,28,99.94,3.2,0.77,10.8,7,205
12.8,0.3,0.74,2.6,0.095,9,28,99.94,3.2,0.77,10.8,7,206
11.6,0.41,0.54,1.5,0.095,22,41,99.735,3.02,0.76,9.9,7,1088
11.6,0.41,0.54,1.5,0.095,22,41,99.735,3.02,0.76,9.9,7,1089
15.5,0.645,0.49,4.2,0.095,10,23,100.315,2.92,0.74,11.1,5,554
15.6,0.645,0.49,4.2,0.095,10,23,100.315,2.92,0.74,11.1,5,557
6.5,0.61,0,2.2,0.095,48,59,99.541,3.61,0.7,11.5,6,1175
10,0.43,0.33,2.7,0.095,28,89,99.84,3.22,0.68,10,5,1128
8.2,0.64,0.27,2,0.095,5,77,99.747,3.13,0.62,9.1,6,1055
11.9,0.39,0.69,2.8,0.095,17,35,99.94,3.1,0.61,10.8,6,449
11.9,0.39,0.69,2.8,0.095,17,35,99.94,3.1,0.61,10.8,6,450
8.6,0.83,0,2.8,0.095,17,43,99.822,3.33,0.6,10.4,6,1025
8.9,0.59,0.39,2.3,0.095,5,22,99.86,3.37,0.58,10.3,5,456
6.2,0.36,0.24,2.2,0.095,19,42,99.46,3.57,0.57,11.7,6,569
7.5,0.6,0.03,1.8,0.095,25,99,99.5,3.35,0.54,10.1,5,152
7.5,0.6,0.03,1.8,0.095,25,99,99.5,3.35,0.54,10.1,5,153
8.1,0.82,0,4.1,0.095,5,14,99.854,3.36,0.53,9.6,5,1032
11.1,0.39,0.54,2.7,0.095,21,101,100.01,3.13,0.51,9.5,5,744
13.3,0.34,0.52,3.2,0.094,17,53,100.14,3.05,0.81,9.5,6,294
7.2,0.65,0.02,2.3,0.094,5,31,99.93,3.67,0.8,9.7,5,298
9,0.54,0.49,2.9,0.094,41,110,99.82,3.08,0.61,9.2,5,562
9.1,0.47,0.49,2.6,0.094,38,106,99.82,3.08,0.59,9.1,5,545
9.9,0.49,0.58,3.5,0.094,9,43,100.04,3.29,0.58,9,5,593
8,0.64,0.22,2.4,0.094,5,33,99.612,3.37,0.58,11,5,1391
8.9,0.48,0.24,2.85,0.094,35,106,99.82,3.1,0.53,9.2,5,721
7.4,0.785,0.19,5.2,0.094,19,98,99.713,3.16,0.52,9.6,6,1445
8.8,0.61,0.19,4,0.094,30,69,99.787,3.22,0.5,10,6,884
7.3,0.74,0.08,1.7,0.094,10,45,99.576,3.24,0.5,9.8,5,1366
8,0.45,0.23,2.2,0.094,16,29,99.62,3.21,0.49,10.2,6,681
13.8,0.49,0.67,3,0.093,6,15,99.86,3.02,0.93,12,6,347
9.9,0.53,0.57,2.4,0.093,30,52,99.71,3.19,0.76,11.6,7,1058
12,0.38,0.56,2.1,0.093,6,24,99.925,3.14,0.71,10.9,6,241
8.8,0.41,0.64,2.2,0.093,9,42,99.86,3.54,0.66,10.5,5,76
8.2,0.59,0,2.5,0.093,19,58,100.02,3.5,0.65,9.3,6,737
9,0.46,0.31,2.8,0.093,19,98,99.815,3.32,0.63,9.5,6,312
12,0.39,0.66,3,0.093,12,30,99.96,3.18,0.63,10.8,7,407
8.3,0.28,0.48,2.1,0.093,6,12,99.408,3.26,0.62,12.4,7,947
8.3,0.28,0.48,2.1,0.093,6,12,99.408,3.26,0.62,12.4,7,951
13,0.32,0.65,2.6,0.093,15,47,99.96,3.05,0.61,10.6,5,470
8.9,0.565,0.34,3,0.093,16,112,99.98,3.38,0.61,9.5,5,711
8.4,0.67,0.19,2.2,0.093,11,75,99.736,3.2,0.59,9.2,4,927
9.1,0.68,0.11,2.8,0.093,11,44,99.888,3.31,0.55,9.5,6,764
8.3,0.85,0.14,2.5,0.093,13,54,99.724,3.36,0.54,10.1,5,1361
7,0.78,0.08,2,0.093,10,19,99.56,3.4,0.47,10,5,706
6.6,0.63,0,4.3,0.093,51,77.5,99.558,3.2,0.45,9.5,5,1296
10.2,0.44,0.58,4.1,0.092,11,24,99.745,3.29,0.99,12,7,946
8.5,0.28,0.56,1.8,0.092,35,103,99.69,3.3,0.75,10.5,7,16
9.5,0.46,0.24,2.7,0.092,14,44,99.8,3.12,0.74,10,6,552
9.4,0.43,0.24,2.8,0.092,14,45,99.8,3.19,0.73,10,6,551
8.3,0.705,0.12,2.6,0.092,12,28,99.94,3.51,0.72,10,5,302
7.8,0.735,0.08,2.4,0.092,10,41,99.74,3.24,0.71,9.8,6,214
7.5,0.4,0.12,3,0.092,29,53,99.67,3.37,0.7,10.3,6,287
7.8,0.76,0.04,2.3,0.092,15,54,99.7,3.26,0.65,9.8,5,2
8.6,0.685,0.1,1.6,0.092,3,12,99.745,3.31,0.65,9.55,6,1395
10.1,0.43,0.4,2.6,0.092,13,52,99.834,3.22,0.64,10,7,942
5.4,0.42,0.27,2,0.092,23,55,99.471,3.78,0.64,12.3,7,1111
7.6,0.29,0.49,2.7,0.092,25,60,99.71,3.31,0.61,10.1,6,563
7.7,0.775,0.42,1.9,0.092,8,86,99.59,3.23,0.59,9.5,5,253
7.5,0.71,0,1.6,0.092,22,31,99.635,3.38,0.58,10,6,1013
8.8,0.48,0.41,3.3,0.092,26,52,99.82,3.31,0.53,10.5,6,607
8.8,0.42,0.21,2.5,0.092,33,88,99.823,3.19,0.52,9.2,5,759
7.3,0.835,0.03,2.1,0.092,10,19,99.66,3.39,0.47,9.6,5,732
8.7,0.52,0.09,2.5,0.091,20,49,99.76,3.34,0.86,10.6,7,288
8.7,0.52,0.09,2.5,0.091,20,49,99.76,3.34,0.86,10.6,7,290
9.3,0.27,0.41,2,0.091,6,16,99.8,3.28,0.7,9.7,5,476
11.6,0.475,0.4,1.4,0.091,6,28,99.704,3.07,0.65,10.03333333,6,1359
11.6,0.475,0.4,1.4,0.091,6,28,99.704,3.07,0.65,10.03333333,6,1362
10.4,0.55,0.23,2.7,0.091,18,48,99.94,3.22,0.64,10.3,6,292
7,0.69,0.07,2.5,0.091,15,21,99.572,3.38,0.6,11.3,6,1115
7,0.69,0.07,2.5,0.091,15,21,99.572,3.38,0.6,11.3,6,1116
7,0.69,0.07,2.5,0.091,15,21,99.572,3.38,0.6,11.3,6,1117
9.6,0.41,0.37,2.3,0.091,10,23,99.786,3.24,0.56,10.5,5,920
9.2,0.67,0.1,3,0.091,12,48,99.888,3.31,0.54,9.5,6,765
9.2,0.46,0.23,2.6,0.091,18,77,99.922,3.15,0.51,9.4,5,1225
12.3,0.39,0.63,2.3,0.091,6,18,100.04,3.16,0.49,9.5,5,433
12.3,0.39,0.63,2.3,0.091,6,18,100.04,3.16,0.49,9.5,5,435
7,0.58,0.12,1.9,0.091,34,124,99.56,3.44,0.48,10.5,5,417
8.4,0.745,0.11,1.9,0.09,16,63,99.65,3.19,0.82,9.6,5,135
8.4,0.745,0.11,1.9,0.09,16,63,99.65,3.19,0.82,9.6,5,140
7.2,0.34,0.32,2.5,0.09,43,113,99.66,3.32,0.79,11.1,5,497
7.7,0.665,0,2.4,0.09,8,19,99.74,3.27,0.73,9.3,5,352
8.5,0.37,0.2,2.8,0.09,18,58,99.8,3.34,0.7,9.6,6,232
8.5,0.21,0.52,1.9,0.09,9,23,99.648,3.36,0.67,10.4,5,955
8.7,0.675,0.1,1.6,0.09,4,11,99.745,3.31,0.65,9.55,5,1396
8.3,0.3,0.49,3.8,0.09,11,24,99.498,3.27,0.64,12.1,7,944
9.4,0.4,0.31,2.2,0.09,13,62,99.66,3.07,0.63,10.5,6,115
10,0.59,0.31,2.2,0.09,26,62,99.94,3.18,0.63,10.2,6,511
9.3,0.61,0.26,3.4,0.09,25,87,99.975,3.24,0.62,9.7,5,321
11.4,0.36,0.69,2.1,0.09,6,21,100,3.17,0.62,9.2,6,468
6.2,0.6,0.08,2,0.09,32,44,99.49,3.45,0.58,10.5,5,1594
11.3,0.37,0.5,1.8,0.09,20,47,99.734,3.15,0.57,10.5,5,1285
7.6,0.95,0.03,2,0.09,7,20,99.59,3.2,0.56,9.6,5,160
11.1,0.35,0.48,3.1,0.09,5,21,99.86,3.17,0.53,10.5,5,252
8.1,0.78,0.1,3.3,0.09,4,13,99.855,3.36,0.49,9.5,5,1108
9.6,0.56,0.31,2.8,0.089,15,46,99.79,3.11,0.92,10,6,348
7.2,0.48,0.07,5.5,0.089,10,18,99.684,3.37,0.68,11.2,7,1133
7.7,0.54,0.26,1.9,0.089,23,147,99.636,3.26,0.59,9.7,5,1493
7,0.43,0.36,1.6,0.089,14,37,99.615,3.34,0.56,9.2,6,204
5.4,0.74,0.09,1.7,0.089,16,26,99.402,3.67,0.56,11.6,6,1591
6.8,0.63,0.07,2.1,0.089,11,44,99.53,3.47,0.55,10.4,6,168
8.3,0.65,0.1,2.9,0.089,17,40,99.803,3.29,0.55,9.5,5,750
8.3,0.65,0.1,2.9,0.089,17,40,99.803,3.29,0.55,9.5,5,753
6.7,0.675,0.07,2.4,0.089,17,82,99.58,3.35,0.54,10.1,5,30
8.8,0.59,0.18,2.9,0.089,12,74,99.738,3.14,0.54,9.4,5,766
5.6,0.615,0,1.6,0.089,16,59,99.43,3.58,0.52,9.9,5,12
12.3,0.5,0.49,2.2,0.089,5,14,100.02,3.19,0.44,9.6,5,580
12.3,0.5,0.49,2.2,0.089,5,14,100.02,3.19,0.44,9.6,5,581
6.9,0.54,0.3,2.2,0.088,9,105,99.725,3.25,1.18,10.5,6,1367
11.4,0.625,0.66,6.2,0.088,6,24,99.88,3.11,0.99,13.3,6,378
9.8,0.25,0.49,2.7,0.088,15,33,99.82,3.42,0.9,10,6,520
8.9,0.5,0.21,2.2,0.088,21,39,99.692,3.33,0.83,11.1,6,1039
11.3,0.37,0.41,2.3,0.088,6,16,99.88,3.09,0.8,9.3,5,619
6.2,0.63,0.31,1.7,0.088,15,64,99.69,3.46,0.79,9.3,5,107
7.8,0.46,0.26,1.9,0.088,23,53,99.81,3.43,0.74,9.2,6,388
12.6,0.38,0.66,2.6,0.088,10,41,100.1,3.17,0.68,9.8,6,359
7.1,0.685,0.35,2,0.088,9,92,99.63,3.28,0.62,9.4,5,843
